epoch,train_loss,eval_loss,eval_top1,eval_top5
0,0.6937001674603194,0.6532171875,66.37,100.0
1,0.6443379420500536,0.56699765625,77.4,100.0
2,0.5612924803525974,0.42952734375,82.86,100.0
3,0.5127480276120014,0.395003515625,83.08,100.0
4,0.5094997273041652,0.383705859375,84.25,100.0
5,0.5079564086901835,0.365945703125,85.17,100.0
6,0.5045619238645602,0.3489125,85.47,100.0
7,0.5003170221279829,0.33670625,85.63,100.0
8,0.5004495110267247,0.337658203125,85.88,100.0
9,0.4941414672594804,0.3456296875,86.59,100.0
10,0.4974986854272011,0.336605859375,86.97,100.0
11,0.4921780379918905,0.331630859375,87.25,100.0
12,0.48995918402305016,0.314984375,87.55,100.0
13,0.4876582688246018,0.31853125,87.36,100.0
14,0.48428427836833854,0.30688671875,88.23,100.0
15,0.48607712265772696,0.3276671875,87.99,100.0
16,0.4835951762321668,0.299895703125,89.04,100.0
17,0.4838744803881034,0.30043515625,89.0,100.0
18,0.48340597106860234,0.29118359375,89.04,100.0
19,0.48097179791866207,0.2895765625,88.37,100.0
20,0.47570902353677996,0.297796875,88.85,100.0
21,0.4726623380795503,0.27968671875,89.0,100.0
22,0.47188474719340984,0.306325390625,89.39,100.0
23,0.475066944421866,0.2959875,89.7,100.0
24,0.46719675079370154,0.2964046875,89.37,100.0
25,0.468149291857695,0.277837890625,89.9,100.0
26,0.46357648128118273,0.295827734375,89.58,100.0
27,0.4666624996906672,0.267729296875,90.03,100.0
28,0.4681520541508993,0.28207734375,89.89,100.0
29,0.46647587219874065,0.2679580078125,90.59,100.0
30,0.4624920725822449,0.24668359375,91.18,100.0
31,0.46193495774880433,0.255434765625,90.42,100.0
32,0.45908025549008297,0.2587611328125,90.33,100.0
33,0.4558100573527507,0.2552484375,91.1,100.0
34,0.45558808751595326,0.2438392578125,91.46,100.0
35,0.4527379396634224,0.2473126953125,91.7,100.0
36,0.4567423715041234,0.257896484375,90.48,100.0
37,0.4582987809792543,0.252448828125,91.0,100.0
38,0.45773441195487974,0.2427494140625,91.94,100.0
39,0.45776353753530064,0.2348748046875,91.82,100.0
40,0.4489320946045411,0.2544400390625,91.73,100.0
41,0.4497441406433399,0.2330794921875,91.57,100.0
42,0.45541843955333416,0.248991015625,92.43,100.0
43,0.44928050469129516,0.24724375,92.09,100.0
44,0.45204798334684126,0.240286328125,91.96,100.0
45,0.4512241719624935,0.2313564453125,92.01,100.0
46,0.44540414703197967,0.2166814453125,91.94,100.0
47,0.443028127688628,0.23202890625,92.83,100.0
48,0.4508676970616365,0.230678515625,92.69,100.0
49,0.4429133318937742,0.24044140625,92.83,100.0
50,0.440770010306285,0.228891796875,92.4,100.0
51,0.44643405691171306,0.2227013671875,92.89,100.0
52,0.4454715391000112,0.247515625,92.63,100.0
53,0.4374747111247136,0.215394140625,92.94,100.0
54,0.43864556230031526,0.2229708984375,93.14,100.0
55,0.4434244348452641,0.2211470703125,92.68,100.0
56,0.44351199712508765,0.228405859375,93.51,100.0
57,0.4402606663031456,0.213444140625,93.6,100.0
58,0.4381235134907258,0.219563671875,93.0,100.0
59,0.4440730285950196,0.2325466796875,93.18,100.0
60,0.43763138605998114,0.2239517578125,92.85,100.0
61,0.44212307257530015,0.23315,93.37,100.0
62,0.43857754621750267,0.22931015625,93.24,100.0
63,0.44267833599677453,0.246907421875,92.66,100.0
64,0.4361626889461126,0.23106875,93.73,100.0
65,0.433889380020973,0.2242984375,93.49,100.0
66,0.43847624552555575,0.2134130859375,93.88,100.0
67,0.42693471969702307,0.203173828125,93.32,100.0
68,0.4259886996868329,0.221184765625,93.47,100.0
69,0.43309755753248164,0.22446953125,93.11,100.0
70,0.43912184406549504,0.21737890625,93.87,100.0
71,0.43323995700249307,0.2225677734375,93.53,100.0
72,0.4261945605278015,0.19654453125,94.27,100.0
73,0.43672694930663475,0.207046875,93.89,100.0
74,0.42665588030448326,0.2043412109375,93.96,100.0
75,0.4241319356820522,0.2119294921875,94.1,100.0
76,0.43292529185613,0.20536875,93.82,100.0
77,0.43181025416423113,0.2272658203125,93.85,100.0
78,0.42975106621399906,0.197530859375,94.26,100.0
79,0.425364866012182,0.223653125,93.69,100.0
80,0.4267830410064795,0.213369140625,94.24,100.0
81,0.43500127104612496,0.210669140625,94.4,100.0
82,0.42334394668921443,0.2141875,93.89,100.0
83,0.42163580854733784,0.1969013671875,93.97,100.0
84,0.42865830323635,0.2263392578125,93.91,100.0
85,0.4202706251388941,0.20648984375,94.36,100.0
86,0.4258893919296754,0.2045701171875,94.56,100.0
87,0.4190645104799515,0.1816193359375,94.76,100.0
88,0.42664908934862183,0.2069625,94.36,100.0
89,0.42098743518193565,0.193699609375,94.3,100.0
90,0.4227074438180679,0.2026421875,93.84,100.0
91,0.4297170204994006,0.211630078125,94.42,100.0
92,0.4206462250306056,0.234250390625,94.43,100.0
93,0.42153618641388724,0.1988837890625,94.3,100.0
