epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.266053582460452,1.915903125,32.97,84.69
1,2.1348064239208515,1.695065625,41.42,89.64
2,2.087840991753798,1.54156875,47.42,91.98
3,2.0128107260435057,1.4365234375,50.53,93.8
4,1.9965118652735,1.3530703125,54.54,94.74
5,1.9564791960593981,1.2361625,57.76,96.01
6,1.933769122759501,1.189,61.61,95.87
7,1.8951851942600348,1.1111109375,64.17,96.59
8,1.8989997698710515,1.06431328125,66.5,96.87
9,1.8414946427712073,0.97153984375,68.86,97.45
10,1.847574885074909,0.99190859375,68.9,97.57
11,1.8282143886272724,0.98201640625,69.57,97.41
12,1.79779322880965,0.94818203125,70.81,97.67
13,1.7991878980245346,0.9047640625,72.64,97.88
14,1.7755541184009649,0.89857578125,72.66,97.86
15,1.7716039400834305,0.87680703125,73.93,97.82
16,1.7867693399771667,0.8553796875,75.56,98.04
17,1.7359222528262017,0.85376328125,76.3,98.06
18,1.7478984557665311,0.80145078125,77.05,98.24
19,1.7303638604971079,0.81593359375,77.51,98.22
20,1.736556751300127,0.7876625,77.54,98.35
21,1.724350155928196,0.7267765625,79.11,98.44
22,1.6809061215474055,0.75303125,77.6,98.37
23,1.703755629979647,0.69549140625,78.44,98.62
24,1.6851492398824448,0.72111953125,79.2,98.58
25,1.7028482803931604,0.76643359375,77.05,98.53
26,1.7015490214029947,0.7622875,79.32,98.59
27,1.6858542906932341,0.7386921875,80.28,98.71
28,1.6971202141199357,0.6878234375,80.54,98.85
29,1.6586051500760592,0.69027421875,80.91,98.74
30,1.6714319112973335,0.73076015625,79.89,98.55
31,1.6816972659184382,0.68779375,81.36,98.74
32,1.708862776022691,0.72047109375,80.79,98.73
33,1.6634092141420413,0.702409375,81.62,98.76
34,1.6559489396902232,0.6893796875,81.9,98.72
35,1.668037067926847,0.73341328125,79.66,98.27
36,1.6438465839777237,0.66014921875,82.12,98.86
37,1.6329657322321183,0.66795625,80.97,98.67
38,1.623620804762229,0.6897,81.44,98.91
39,1.6827788958182701,0.66567734375,82.12,98.89
40,1.6355511353566097,0.6453421875,81.74,98.63
41,1.6291047933774117,0.62451796875,83.1,99.05
42,1.6560028510215954,0.6539,82.71,98.9
43,1.5921593366525113,0.603666796875,81.68,99.01
44,1.6233691032116229,0.6256953125,83.11,99.06
45,1.6333617760584904,0.6670234375,83.69,99.05
46,1.6162268669177324,0.625615625,83.5,98.97
47,1.617276863562755,0.6479640625,84.08,99.15
48,1.5917544548328106,0.61786796875,82.78,98.77
49,1.5762729657001984,0.61439140625,83.72,98.93
50,1.5942355137604933,0.57137890625,84.73,99.03
51,1.5918476599913376,0.67555625,83.61,98.94
52,1.6095418868920741,0.59701640625,84.17,99.05
53,1.6089295766292475,0.6533984375,84.8,99.22
54,1.6133063848202045,0.5960546875,84.32,99.03
55,1.5972337826704368,0.5935265625,85.25,99.09
56,1.575117512849661,0.568259375,85.13,99.23
57,1.6026473467166606,0.57825546875,85.58,99.16
58,1.5781588591062106,0.5732546875,85.35,99.04
59,1.5643947289540217,0.56638046875,85.47,99.11
60,1.572607161448552,0.55621171875,85.88,99.26
61,1.5684498621867253,0.55875546875,85.99,99.27
62,1.5746026821625538,0.56119765625,85.69,99.21
63,1.607827179859846,0.5742703125,85.94,99.32
64,1.5902249672474005,0.58965859375,85.97,99.2
65,1.5331054149529872,0.55688203125,86.34,99.34
66,1.5252288971191799,0.54800390625,86.53,99.3
67,1.5809767289039416,0.578565625,86.39,99.21
68,1.5712755117660915,0.5424984375,86.34,99.34
69,1.5719543236952562,0.54820234375,86.62,99.24
70,1.5198630161774465,0.54245234375,87.12,99.32
71,1.5649640272825192,0.5474828125,87.15,99.34
72,1.5331678793980525,0.5302796875,87.25,99.37
73,1.54300963083903,0.54332109375,87.56,99.39
74,1.527028234799703,0.55056328125,87.42,99.36
75,1.548216700553894,0.53228515625,87.26,99.37
76,1.5490749132938875,0.5403859375,87.57,99.38
77,1.5287779948650262,0.5299578125,87.19,99.39
78,1.5240354030560224,0.522359375,87.5,99.36
79,1.5573989641972077,0.5443078125,87.33,99.34
80,1.524821532689608,0.53040390625,87.42,99.33
81,1.5015487854297345,0.5314234375,87.4,99.42
82,1.5504622123180292,0.52618203125,87.48,99.35
83,1.5352267839969733,0.5514578125,87.6,99.36
84,1.562249480149685,0.53107734375,87.83,99.36
85,1.5326853311978854,0.541825,87.64,99.37
86,1.4939897145980443,0.5155796875,87.87,99.35
87,1.5333939619553394,0.5277890625,87.72,99.35
88,1.5267857300929535,0.5213484375,87.6,99.41
89,1.5088181520119692,0.52117890625,87.83,99.36
90,1.5063444308745555,0.52653515625,87.81,99.35
91,1.5296666906430172,0.52003828125,87.85,99.36
92,1.5265209650382017,0.52293828125,87.83,99.38
93,1.558660271534553,0.51553046875,87.9,99.42
94,1.5570775606693366,0.52244765625,87.8,99.34
95,1.5638437326137835,0.54225703125,87.81,99.4
96,1.5220048928872132,0.5270390625,87.86,99.35
97,1.5351495443246304,0.528475,87.8,99.41
98,1.5306227207183838,0.51955390625,87.71,99.38
99,1.5301274012296628,0.52781328125,87.84,99.38
