epoch,train_loss,eval_loss,eval_top1,eval_top5
0,0.6431402426499587,0.39853046875,85.7,100.0
1,0.576241923448367,0.355602734375,88.03,100.0
2,0.5623172732499929,0.339808203125,87.76,100.0
3,0.5434124587438045,0.29028671875,90.03,100.0
4,0.5493747078455411,0.311498046875,90.49,100.0
5,0.5464034048410562,0.288863671875,90.45,100.0
6,0.5391305656005174,0.257288671875,91.34,100.0
7,0.5341253106410687,0.24754140625,92.52,100.0
8,0.5313739637533824,0.260215234375,91.73,100.0
9,0.5151848716613574,0.259915234375,92.49,100.0
10,0.5200739185015361,0.25042265625,92.6,100.0
11,0.5133449743955564,0.222130078125,93.55,100.0
12,0.5107665654940483,0.239463671875,93.08,100.0
13,0.5024295164988591,0.244348828125,93.65,100.0
14,0.5017086854347816,0.227219921875,93.42,100.0
15,0.5068714821949983,0.24004765625,94.07,100.0
16,0.501240262007102,0.209875390625,94.28,100.0
17,0.5044153239482488,0.20756484375,94.21,100.0
18,0.5062059672979208,0.245362109375,94.49,100.0
19,0.5022171549307994,0.20757421875,94.55,100.0
20,0.4911418407391279,0.24471875,94.0,100.0
21,0.4878658013466077,0.1952248046875,94.91,100.0
22,0.4857041507195204,0.25058046875,94.76,100.0
23,0.4975868785992647,0.2528921875,94.41,100.0
24,0.47573691851053485,0.205455859375,94.9,100.0
25,0.48070290562434076,0.24063828125,94.09,100.0
26,0.4733888783516028,0.236853515625,94.82,100.0
27,0.48518154957355597,0.20854296875,95.09,100.0
28,0.48840414514908426,0.2380015625,95.2,100.0
29,0.4867306421964597,0.20004140625,95.4,100.0
30,0.4835991452901791,0.192954296875,95.01,100.0
31,0.4725495648689759,0.1890296875,95.65,100.0
32,0.47202106301601116,0.2067521484375,95.66,100.0
33,0.4651278161085569,0.1985125,95.59,100.0
34,0.46720007138374525,0.1659515625,95.96,100.0
35,0.4630303930013608,0.19878828125,95.8,100.0
36,0.4666201256788694,0.2270078125,96.25,100.0
37,0.47974776319968393,0.2347380859375,95.67,100.0
38,0.4703225235144297,0.199450390625,96.2,100.0
39,0.4758117854595184,0.177501171875,95.97,100.0
40,0.4561341858827151,0.1977392578125,96.23,100.0
41,0.4614416649708381,0.1649541015625,96.4,100.0
42,0.47294100018648,0.1751236328125,96.46,100.0
