epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.31982171474359,2.267765625,16.64,60.83
1,2.2732869771810678,2.0843375,27.02,80.44
2,2.2102969389695386,1.925909375,31.45,85.0
3,2.1641971942705984,1.822871875,35.58,86.9
4,2.1301306712321746,1.7408421875,39.32,89.03
5,2.106418975805625,1.6647515625,42.6,91.02
6,2.082310258425199,1.6109375,45.21,92.37
7,2.052297509633578,1.5341625,46.91,92.43
8,2.0483136458274647,1.514675,48.48,93.1
9,2.0456017683713865,1.4607609375,50.05,93.28
10,2.0300137715461926,1.4327375,51.22,94.06
11,2.0105431844026613,1.409446875,53.16,94.17
12,1.9987367807290493,1.379103125,54.33,94.23
13,1.9732680357419528,1.338240625,55.36,94.68
14,1.9862377148408157,1.350309375,54.61,94.16
15,1.9736088709953503,1.342103125,55.14,94.79
16,1.9742183452997453,1.31645625,56.25,94.81
17,1.949962789584429,1.3022171875,57.5,95.35
18,1.9398389687904944,1.254175,58.16,95.5
19,1.9482382603180715,1.258940625,57.95,95.33
20,1.9409504982141348,1.269075,58.02,95.28
21,1.9308102803352551,1.250921875,59.28,95.58
22,1.9253009031980466,1.212278125,60.24,95.69
23,1.9333621257390732,1.2511,58.56,95.56
24,1.9177387335361578,1.1952734375,60.6,95.93
25,1.9202045783018455,1.184546875,60.56,95.9
26,1.9118473511475784,1.2248015625,61.62,95.82
27,1.8888751696317623,1.1925875,61.75,96.21
28,1.904650864845667,1.1496265625,62.44,96.25
29,1.8942294377547044,1.1423203125,61.9,96.18
30,1.9012444453361708,1.1211140625,63.02,96.4
31,1.9041104255578456,1.1559625,61.89,96.15
32,1.890651975533901,1.1318109375,63.4,96.37
33,1.8807758832589174,1.1378734375,62.16,96.27
34,1.869274537379925,1.107540625,63.11,96.04
35,1.8904017515671558,1.1409828125,63.96,96.61
36,1.875939963414119,1.1195734375,62.67,95.96
37,1.911313135196001,1.1488859375,62.97,96.03
38,1.8880685103245272,1.1085953125,63.28,96.09
39,1.8778254337799856,1.0899203125,64.17,96.21
40,1.8851378055719228,1.1029890625,63.04,96.41
41,1.8693932527150863,1.165803125,63.31,96.79
42,1.8850328836685573,1.11483125,61.96,96.36
43,1.8663963666329018,1.1135828125,64.51,96.73
44,1.8609313543026265,1.1391625,63.54,96.17
45,1.876717410943447,1.07635859375,64.81,96.31
46,1.8720981891338642,1.1195,63.12,96.19
47,1.8523946914917384,1.0962671875,64.38,96.52
48,1.865227460861206,1.112090625,64.58,96.64
49,1.873097763917385,1.10325625,64.97,96.8
50,1.8650077887070484,1.1057078125,63.62,96.26
51,1.8478325752111582,1.0756015625,65.46,96.51
52,1.8860150386125614,1.0743734375,65.0,96.04
53,1.831197886589246,1.1060109375,63.52,95.44
54,1.8573802593426827,1.096821875,65.08,96.52
55,1.842183404091077,1.1002390625,64.87,95.86
56,1.8271913846333823,1.0701453125,65.64,96.38
57,1.8476160116684743,1.1256765625,64.44,96.28
58,1.8647494413913825,1.07535625,65.8,96.74
59,1.8465069978665083,1.0739359375,65.57,96.97
60,1.831118970650893,1.05859921875,65.19,96.44
61,1.8262149333953857,1.0684375,66.95,96.65
62,1.8420049948570056,1.089684375,64.42,97.27
63,1.8615851041598197,1.1253375,64.35,95.6
64,1.870131305547861,1.104628125,66.3,96.68
65,1.8168943606890164,1.07394296875,64.33,96.74
66,1.8511144827573727,1.1385078125,63.54,96.29
67,1.8164997809972518,1.00648125,68.0,97.25
68,1.8247672765682905,1.036409375,66.8,97.3
69,1.8244744080763597,1.0540671875,65.59,96.36
70,1.8479850151599981,1.0771,66.31,96.83
71,1.8190906494091719,1.04696015625,65.42,96.89
72,1.8362210512161254,1.03516640625,66.56,97.06
73,1.8639364688824385,1.02685,66.96,97.01
