Epoch,Batch,Loss,Valid Samples,Learning Rate,Key-Value Pair Counts
1,10,2.2954,1024,0.000120,10 pairs: 1024 images;
1,20,2.2877,1024,0.000120,10 pairs: 1021 images; 4 pairs: 1 images;
11,30,2.0144,1024,0.000319,10 pairs: 263 images; 8 pairs: 155 images; 6 pairs: 198 images; 4 pairs: 200 images; 2 pairs: 207 images;
11,40,2.0119,1024,0.000319,10 pairs: 270 images; 8 pairs: 144 images; 6 pairs: 202 images; 4 pairs: 222 images; 2 pairs: 185 images;
12,10,1.9928,1024,0.000360,10 pairs: 225 images; 8 pairs: 157 images; 6 pairs: 178 images; 4 pairs: 257 images; 2 pairs: 206 images;
12,20,1.9974,1024,0.000360,10 pairs: 245 images; 8 pairs: 132 images; 6 pairs: 206 images; 4 pairs: 237 images; 2 pairs: 204 images;
12,30,1.9953,1024,0.000360,10 pairs: 195 images; 8 pairs: 169 images; 6 pairs: 205 images; 4 pairs: 257 images; 2 pairs: 198 images;
12,40,1.9998,1024,0.000360,10 pairs: 206 images; 8 pairs: 165 images; 6 pairs: 211 images; 4 pairs: 244 images; 2 pairs: 198 images;
13,10,1.9953,1024,0.000404,10 pairs: 223 images; 8 pairs: 158 images; 6 pairs: 220 images; 4 pairs: 214 images; 2 pairs: 207 images;
13,20,1.9775,1024,0.000404,10 pairs: 209 images; 8 pairs: 140 images; 6 pairs: 191 images; 4 pairs: 269 images; 2 pairs: 215 images;
13,30,1.9822,1024,0.000404,10 pairs: 176 images; 8 pairs: 164 images; 6 pairs: 243 images; 4 pairs: 223 images; 2 pairs: 215 images;
13,40,1.9823,1024,0.000404,10 pairs: 181 images; 8 pairs: 147 images; 6 pairs: 218 images; 4 pairs: 256 images; 2 pairs: 222 images;
14,10,1.9909,1024,0.000451,10 pairs: 178 images; 8 pairs: 154 images; 6 pairs: 232 images; 4 pairs: 232 images; 2 pairs: 228 images;
14,20,1.9771,1024,0.000451,10 pairs: 218 images; 8 pairs: 144 images; 6 pairs: 208 images; 4 pairs: 222 images; 2 pairs: 230 images;
14,30,1.9757,1024,0.000451,10 pairs: 189 images; 8 pairs: 153 images; 6 pairs: 202 images; 4 pairs: 245 images; 2 pairs: 235 images;
14,40,1.9626,1024,0.000451,10 pairs: 188 images; 8 pairs: 138 images; 6 pairs: 210 images; 4 pairs: 240 images; 2 pairs: 248 images;
15,10,1.9919,1024,0.000502,10 pairs: 144 images; 8 pairs: 180 images; 6 pairs: 216 images; 4 pairs: 249 images; 2 pairs: 235 images;
15,20,1.9497,1024,0.000502,10 pairs: 157 images; 8 pairs: 150 images; 6 pairs: 223 images; 4 pairs: 251 images; 2 pairs: 242 images;
15,30,1.9495,1024,0.000502,10 pairs: 148 images; 8 pairs: 134 images; 6 pairs: 222 images; 4 pairs: 250 images; 2 pairs: 266 images;
