Epoch,Batch,Loss,Valid Samples,Learning Rate,Key-Value Pair Counts
1,10,2.2830,256,0.000100,10 pairs: 256 images;
1,20,2.2783,256,0.000100,10 pairs: 255 images; 4 pairs: 1 images;
1,30,2.2687,256,0.000100,10 pairs: 253 images; 6 pairs: 1 images; 4 pairs: 1 images;
1,40,2.2535,256,0.000100,10 pairs: 253 images; 6 pairs: 2 images; 4 pairs: 1 images;
1,50,2.2295,256,0.000100,10 pairs: 251 images; 6 pairs: 1 images; 4 pairs: 4 images;
1,60,2.2351,256,0.000100,10 pairs: 245 images; 6 pairs: 5 images; 4 pairs: 6 images;
1,70,2.2399,256,0.000100,10 pairs: 239 images; 6 pairs: 8 images; 4 pairs: 9 images;
1,80,2.2082,256,0.000100,10 pairs: 229 images; 6 pairs: 10 images; 4 pairs: 17 images;
1,90,2.1997,256,0.000100,10 pairs: 219 images; 6 pairs: 24 images; 4 pairs: 13 images;
1,100,2.1903,256,0.000100,10 pairs: 212 images; 6 pairs: 22 images; 4 pairs: 22 images;
1,110,2.2015,256,0.000100,10 pairs: 218 images; 6 pairs: 18 images; 4 pairs: 20 images;
1,120,2.1741,256,0.000100,10 pairs: 201 images; 6 pairs: 21 images; 4 pairs: 34 images;
1,130,2.1875,256,0.000100,10 pairs: 204 images; 6 pairs: 26 images; 4 pairs: 26 images;
1,140,2.1820,256,0.000100,10 pairs: 199 images; 6 pairs: 25 images; 4 pairs: 32 images;
1,150,2.1744,256,0.000100,10 pairs: 192 images; 6 pairs: 29 images; 4 pairs: 35 images;
1,160,2.1522,256,0.000100,10 pairs: 185 images; 6 pairs: 34 images; 4 pairs: 37 images;
1,170,2.1435,256,0.000100,10 pairs: 178 images; 6 pairs: 38 images; 4 pairs: 40 images;
1,180,2.1702,256,0.000100,10 pairs: 176 images; 6 pairs: 37 images; 4 pairs: 43 images;
1,190,2.1611,256,0.000100,10 pairs: 175 images; 6 pairs: 40 images; 4 pairs: 41 images;
2,10,2.1459,256,0.000102,10 pairs: 167 images; 6 pairs: 43 images; 4 pairs: 46 images;
2,20,2.1285,256,0.000102,10 pairs: 154 images; 6 pairs: 54 images; 4 pairs: 48 images;
2,30,2.1875,256,0.000102,10 pairs: 162 images; 6 pairs: 43 images; 4 pairs: 51 images;
2,40,2.1632,256,0.000102,10 pairs: 151 images; 6 pairs: 57 images; 4 pairs: 48 images;
2,50,2.1387,256,0.000102,10 pairs: 150 images; 6 pairs: 56 images; 4 pairs: 50 images;
2,60,2.1193,256,0.000102,10 pairs: 141 images; 6 pairs: 59 images; 4 pairs: 56 images;
2,70,2.1391,256,0.000102,10 pairs: 146 images; 6 pairs: 58 images; 4 pairs: 52 images;
2,80,2.1761,256,0.000102,10 pairs: 137 images; 6 pairs: 61 images; 4 pairs: 58 images;
2,90,2.1609,256,0.000102,10 pairs: 149 images; 6 pairs: 58 images; 4 pairs: 49 images;
2,100,2.1128,256,0.000102,10 pairs: 122 images; 6 pairs: 72 images; 4 pairs: 62 images;
2,110,2.1330,256,0.000102,10 pairs: 139 images; 6 pairs: 63 images; 4 pairs: 53 images;
2,120,2.1264,256,0.000102,10 pairs: 139 images; 6 pairs: 58 images; 4 pairs: 59 images;
2,130,2.1394,256,0.000102,10 pairs: 133 images; 6 pairs: 67 images; 4 pairs: 56 images;
2,140,2.1331,256,0.000102,10 pairs: 140 images; 6 pairs: 63 images; 4 pairs: 53 images;
2,150,2.1333,256,0.000102,10 pairs: 120 images; 6 pairs: 75 images; 4 pairs: 61 images;
2,160,2.1373,256,0.000102,10 pairs: 128 images; 6 pairs: 66 images; 4 pairs: 62 images;
2,170,2.1366,256,0.000102,10 pairs: 125 images; 6 pairs: 67 images; 4 pairs: 64 images;
2,180,2.1463,256,0.000102,10 pairs: 131 images; 6 pairs: 68 images; 4 pairs: 57 images;
2,190,2.1875,256,0.000102,10 pairs: 129 images; 6 pairs: 68 images; 4 pairs: 59 images;
3,10,2.1339,256,0.000107,10 pairs: 117 images; 6 pairs: 73 images; 4 pairs: 66 images;
3,20,2.1404,256,0.000107,10 pairs: 135 images; 6 pairs: 64 images; 4 pairs: 57 images;
