Epoch,Batch,Loss,Valid Samples,Learning Rate,Key-Value Pair Counts
1,10,2.3024,256,0.000120,10 pairs: 256 images;
1,20,2.2899,256,0.000120,10 pairs: 255 images; 4 pairs: 1 images;
1,30,2.2814,256,0.000120,10 pairs: 254 images; 4 pairs: 1 images;
1,40,2.2792,256,0.000120,10 pairs: 254 images; 8 pairs: 1 images; 4 pairs: 1 images;
1,50,2.2616,256,0.000120,10 pairs: 252 images; 8 pairs: 2 images; 4 pairs: 2 images;
1,60,2.2799,256,0.000120,10 pairs: 252 images; 8 pairs: 1 images; 4 pairs: 3 images;
1,70,2.2647,256,0.000120,10 pairs: 252 images; 8 pairs: 1 images; 4 pairs: 3 images;
1,80,2.2572,256,0.000120,10 pairs: 247 images; 8 pairs: 3 images; 4 pairs: 6 images;
1,90,2.2444,256,0.000120,10 pairs: 239 images; 8 pairs: 7 images; 4 pairs: 10 images;
1,100,2.2406,256,0.000120,10 pairs: 233 images; 8 pairs: 3 images; 6 pairs: 3 images; 4 pairs: 16 images; 2 pairs: 1 images;
1,110,2.2577,256,0.000120,10 pairs: 233 images; 8 pairs: 8 images; 6 pairs: 1 images; 4 pairs: 13 images; 2 pairs: 1 images;
1,120,2.2437,256,0.000120,10 pairs: 219 images; 8 pairs: 7 images; 6 pairs: 1 images; 4 pairs: 27 images; 2 pairs: 2 images;
1,130,2.2251,256,0.000120,10 pairs: 222 images; 8 pairs: 7 images; 6 pairs: 7 images; 4 pairs: 20 images;
1,140,2.2244,256,0.000120,10 pairs: 215 images; 8 pairs: 9 images; 6 pairs: 9 images; 4 pairs: 21 images; 2 pairs: 2 images;
1,150,2.2009,256,0.000120,10 pairs: 206 images; 8 pairs: 18 images; 6 pairs: 7 images; 4 pairs: 25 images;
1,160,2.2050,256,0.000120,10 pairs: 201 images; 8 pairs: 16 images; 6 pairs: 16 images; 4 pairs: 20 images; 2 pairs: 3 images;
1,170,2.2191,256,0.000120,10 pairs: 203 images; 8 pairs: 7 images; 6 pairs: 14 images; 4 pairs: 28 images; 2 pairs: 4 images;
1,180,2.1933,256,0.000120,10 pairs: 193 images; 8 pairs: 11 images; 6 pairs: 13 images; 4 pairs: 34 images; 2 pairs: 5 images;
1,190,2.1689,256,0.000120,10 pairs: 189 images; 8 pairs: 10 images; 6 pairs: 15 images; 4 pairs: 38 images; 2 pairs: 4 images;
2,10,2.2012,256,0.000122,10 pairs: 191 images; 8 pairs: 18 images; 6 pairs: 14 images; 4 pairs: 26 images; 2 pairs: 7 images;
2,20,2.1482,256,0.000122,10 pairs: 177 images; 8 pairs: 19 images; 6 pairs: 24 images; 4 pairs: 30 images; 2 pairs: 6 images;
2,30,2.1891,256,0.000122,10 pairs: 182 images; 8 pairs: 20 images; 6 pairs: 18 images; 4 pairs: 31 images; 2 pairs: 5 images;
2,40,2.1865,256,0.000122,10 pairs: 173 images; 8 pairs: 28 images; 6 pairs: 19 images; 4 pairs: 32 images; 2 pairs: 4 images;
2,50,2.1996,256,0.000122,10 pairs: 176 images; 8 pairs: 21 images; 6 pairs: 22 images; 4 pairs: 31 images; 2 pairs: 6 images;
2,60,2.1549,256,0.000122,10 pairs: 160 images; 8 pairs: 18 images; 6 pairs: 27 images; 4 pairs: 39 images; 2 pairs: 12 images;
2,70,2.1676,256,0.000122,10 pairs: 155 images; 8 pairs: 27 images; 6 pairs: 30 images; 4 pairs: 34 images; 2 pairs: 10 images;
2,80,2.1799,256,0.000122,10 pairs: 155 images; 8 pairs: 25 images; 6 pairs: 36 images; 4 pairs: 31 images; 2 pairs: 9 images;
2,90,2.1381,256,0.000122,10 pairs: 155 images; 8 pairs: 22 images; 6 pairs: 32 images; 4 pairs: 33 images; 2 pairs: 14 images;
2,100,2.1651,256,0.000122,10 pairs: 153 images; 8 pairs: 21 images; 6 pairs: 28 images; 4 pairs: 44 images; 2 pairs: 10 images;
2,110,2.1835,256,0.000122,10 pairs: 153 images; 8 pairs: 30 images; 6 pairs: 28 images; 4 pairs: 32 images; 2 pairs: 12 images;
2,120,2.1493,256,0.000122,10 pairs: 151 images; 8 pairs: 34 images; 6 pairs: 28 images; 4 pairs: 27 images; 2 pairs: 16 images;
2,130,2.1108,256,0.000122,10 pairs: 146 images; 8 pairs: 27 images; 6 pairs: 29 images; 4 pairs: 43 images; 2 pairs: 11 images;
2,140,2.1107,256,0.000122,10 pairs: 149 images; 8 pairs: 19 images; 6 pairs: 34 images; 4 pairs: 38 images; 2 pairs: 16 images;
