Epoch,Batch,Loss,Valid Samples,Learning Rate,Key-Value Pair Counts
1,10,2.3267,256,0.000100,10 pairs: 256 images;
1,20,2.3230,256,0.000100,10 pairs: 256 images;
1,30,2.3103,256,0.000100,10 pairs: 255 images;
1,40,2.3135,256,0.000100,10 pairs: 256 images;
1,50,2.2889,256,0.000100,10 pairs: 256 images;
1,60,2.3078,256,0.000100,10 pairs: 256 images;
1,70,2.2854,256,0.000100,10 pairs: 256 images;
1,80,2.2698,256,0.000100,10 pairs: 256 images;
1,90,2.2404,256,0.000100,10 pairs: 256 images;
1,100,2.2453,256,0.000100,10 pairs: 256 images;
1,110,2.2504,256,0.000100,10 pairs: 256 images;
1,120,2.2326,256,0.000100,10 pairs: 256 images;
1,130,2.2385,256,0.000100,10 pairs: 256 images;
1,140,2.2347,256,0.000100,10 pairs: 256 images;
1,150,2.2136,256,0.000100,10 pairs: 256 images;
1,160,2.2133,256,0.000100,10 pairs: 256 images;
1,170,2.2024,256,0.000100,10 pairs: 256 images;
1,180,2.2118,256,0.000100,10 pairs: 256 images;
1,190,2.2004,256,0.000100,10 pairs: 256 images;
