Epoch,Batch,Loss,Valid Samples,Learning Rate,Key-Value Pair Counts
1,10,2.2927,256,0.000100,10 pairs: 256 images;
1,20,2.2777,256,0.000100,10 pairs: 256 images;
1,30,2.2657,256,0.000100,10 pairs: 255 images;
1,40,2.2602,256,0.000100,10 pairs: 256 images;
1,50,2.2256,256,0.000100,10 pairs: 256 images;
1,60,2.2456,256,0.000100,10 pairs: 256 images;
1,70,2.2172,256,0.000100,10 pairs: 256 images;
1,80,2.2159,256,0.000100,10 pairs: 256 images;
1,90,2.1924,256,0.000100,10 pairs: 256 images;
1,100,2.1820,256,0.000100,10 pairs: 256 images;
1,110,2.2166,256,0.000100,10 pairs: 256 images;
1,120,2.1565,256,0.000100,10 pairs: 256 images;
1,130,2.1669,256,0.000100,10 pairs: 256 images;
1,140,2.1783,256,0.000100,10 pairs: 256 images;
1,150,2.1529,256,0.000100,10 pairs: 256 images;
1,160,2.1362,256,0.000100,10 pairs: 256 images;
1,170,2.1316,256,0.000100,10 pairs: 256 images;
1,180,2.1464,256,0.000100,10 pairs: 256 images;
1,190,2.1440,256,0.000100,10 pairs: 256 images;
2,10,2.1480,256,0.000102,10 pairs: 256 images;
2,20,2.0886,256,0.000102,10 pairs: 256 images;
2,30,2.1529,256,0.000102,10 pairs: 256 images;
2,40,2.1354,256,0.000102,10 pairs: 256 images;
2,50,2.1143,256,0.000102,10 pairs: 256 images;
2,60,2.0787,256,0.000102,10 pairs: 256 images;
