Epoch,Batch,Loss,Valid Samples,Learning Rate,Key-Value Pair Counts
1,10,2.3023,256,0.000100,10 pairs: 256 images;
1,20,2.2912,256,0.000100,10 pairs: 255 images; 4 pairs: 1 images;
1,30,2.2831,256,0.000100,10 pairs: 254 images; 4 pairs: 1 images;
1,40,2.2834,256,0.000100,10 pairs: 255 images; 8 pairs: 1 images;
1,50,2.2629,256,0.000100,10 pairs: 253 images; 8 pairs: 1 images; 4 pairs: 2 images;
1,60,2.2847,256,0.000100,10 pairs: 254 images; 8 pairs: 1 images; 4 pairs: 1 images;
1,70,2.2662,256,0.000100,10 pairs: 253 images; 8 pairs: 1 images; 4 pairs: 2 images;
1,80,2.2631,256,0.000100,10 pairs: 250 images; 8 pairs: 2 images; 4 pairs: 4 images;
1,90,2.2530,256,0.000100,10 pairs: 244 images; 8 pairs: 5 images; 4 pairs: 7 images;
1,100,2.2507,256,0.000100,10 pairs: 241 images; 8 pairs: 3 images; 6 pairs: 1 images; 4 pairs: 10 images; 2 pairs: 1 images;
1,110,2.2666,256,0.000100,10 pairs: 242 images; 8 pairs: 6 images; 4 pairs: 8 images;
1,120,2.2563,256,0.000100,10 pairs: 233 images; 8 pairs: 7 images; 6 pairs: 1 images; 4 pairs: 15 images;
1,130,2.2335,256,0.000100,10 pairs: 230 images; 8 pairs: 7 images; 6 pairs: 3 images; 4 pairs: 16 images;
1,140,2.2420,256,0.000100,10 pairs: 232 images; 8 pairs: 5 images; 6 pairs: 3 images; 4 pairs: 14 images; 2 pairs: 2 images;
1,150,2.2153,256,0.000100,10 pairs: 219 images; 8 pairs: 16 images; 6 pairs: 4 images; 4 pairs: 17 images;
1,160,2.2244,256,0.000100,10 pairs: 217 images; 8 pairs: 13 images; 6 pairs: 8 images; 4 pairs: 16 images; 2 pairs: 2 images;
1,170,2.2331,256,0.000100,10 pairs: 219 images; 8 pairs: 2 images; 6 pairs: 8 images; 4 pairs: 23 images; 2 pairs: 4 images;
1,180,2.2032,256,0.000100,10 pairs: 211 images; 8 pairs: 7 images; 6 pairs: 9 images; 4 pairs: 27 images; 2 pairs: 2 images;
1,190,2.1820,256,0.000100,10 pairs: 204 images; 8 pairs: 9 images; 6 pairs: 10 images; 4 pairs: 30 images; 2 pairs: 3 images;
2,10,2.2118,256,0.000100,10 pairs: 201 images; 8 pairs: 16 images; 6 pairs: 10 images; 4 pairs: 23 images; 2 pairs: 6 images;
2,20,2.1635,256,0.000100,10 pairs: 191 images; 8 pairs: 17 images; 6 pairs: 17 images; 4 pairs: 26 images; 2 pairs: 5 images;
2,30,2.1964,256,0.000100,10 pairs: 195 images; 8 pairs: 17 images; 6 pairs: 13 images; 4 pairs: 30 images; 2 pairs: 1 images;
2,40,2.2002,256,0.000100,10 pairs: 184 images; 8 pairs: 24 images; 6 pairs: 17 images; 4 pairs: 29 images; 2 pairs: 2 images;
2,50,2.2191,256,0.000100,10 pairs: 193 images; 8 pairs: 17 images; 6 pairs: 14 images; 4 pairs: 30 images; 2 pairs: 2 images;
2,60,2.1741,256,0.000100,10 pairs: 175 images; 8 pairs: 18 images; 6 pairs: 22 images; 4 pairs: 34 images; 2 pairs: 7 images;
2,70,2.1859,256,0.000100,10 pairs: 172 images; 8 pairs: 26 images; 6 pairs: 24 images; 4 pairs: 27 images; 2 pairs: 7 images;
2,80,2.1861,256,0.000100,10 pairs: 169 images; 8 pairs: 26 images; 6 pairs: 25 images; 4 pairs: 30 images; 2 pairs: 6 images;
2,90,2.1609,256,0.000100,10 pairs: 174 images; 8 pairs: 22 images; 6 pairs: 20 images; 4 pairs: 27 images; 2 pairs: 13 images;
2,100,2.1760,256,0.000100,10 pairs: 161 images; 8 pairs: 22 images; 6 pairs: 24 images; 4 pairs: 43 images; 2 pairs: 6 images;
2,110,2.2022,256,0.000100,10 pairs: 173 images; 8 pairs: 24 images; 6 pairs: 18 images; 4 pairs: 32 images; 2 pairs: 8 images;
2,120,2.1583,256,0.000100,10 pairs: 167 images; 8 pairs: 24 images; 6 pairs: 22 images; 4 pairs: 30 images; 2 pairs: 13 images;
2,130,2.1198,256,0.000100,10 pairs: 160 images; 8 pairs: 30 images; 6 pairs: 19 images; 4 pairs: 39 images; 2 pairs: 8 images;
2,140,2.1293,256,0.000100,10 pairs: 163 images; 8 pairs: 24 images; 6 pairs: 22 images; 4 pairs: 37 images; 2 pairs: 10 images;
2,150,2.1357,256,0.000100,10 pairs: 157 images; 8 pairs: 28 images; 6 pairs: 27 images; 4 pairs: 37 images; 2 pairs: 7 images;
2,160,2.1644,256,0.000100,10 pairs: 151 images; 8 pairs: 27 images; 6 pairs: 30 images; 4 pairs: 39 images; 2 pairs: 9 images;
2,170,2.1294,256,0.000100,10 pairs: 153 images; 8 pairs: 29 images; 6 pairs: 28 images; 4 pairs: 37 images; 2 pairs: 9 images;
2,180,2.1494,256,0.000100,10 pairs: 142 images; 8 pairs: 26 images; 6 pairs: 39 images; 4 pairs: 35 images; 2 pairs: 14 images;
2,190,2.1647,256,0.000100,10 pairs: 157 images; 8 pairs: 23 images; 6 pairs: 26 images; 4 pairs: 41 images; 2 pairs: 9 images;
3,10,2.1180,256,0.000101,10 pairs: 136 images; 8 pairs: 44 images; 6 pairs: 32 images; 4 pairs: 35 images; 2 pairs: 9 images;
3,20,2.1573,256,0.000101,10 pairs: 147 images; 8 pairs: 26 images; 6 pairs: 37 images; 4 pairs: 32 images; 2 pairs: 14 images;
3,30,2.1649,256,0.000101,10 pairs: 127 images; 8 pairs: 39 images; 6 pairs: 43 images; 4 pairs: 39 images; 2 pairs: 8 images;
3,40,2.1329,256,0.000101,10 pairs: 133 images; 8 pairs: 25 images; 6 pairs: 31 images; 4 pairs: 54 images; 2 pairs: 13 images;
3,50,2.1008,256,0.000101,10 pairs: 123 images; 8 pairs: 40 images; 6 pairs: 31 images; 4 pairs: 42 images; 2 pairs: 20 images;
3,60,2.1221,256,0.000101,10 pairs: 120 images; 8 pairs: 43 images; 6 pairs: 39 images; 4 pairs: 42 images; 2 pairs: 12 images;
3,70,2.1347,256,0.000101,10 pairs: 130 images; 8 pairs: 33 images; 6 pairs: 39 images; 4 pairs: 42 images; 2 pairs: 12 images;
3,80,2.1427,256,0.000101,10 pairs: 130 images; 8 pairs: 34 images; 6 pairs: 38 images; 4 pairs: 37 images; 2 pairs: 17 images;
3,90,2.1075,256,0.000101,10 pairs: 118 images; 8 pairs: 35 images; 6 pairs: 34 images; 4 pairs: 47 images; 2 pairs: 22 images;
3,100,2.0813,256,0.000101,10 pairs: 118 images; 8 pairs: 25 images; 6 pairs: 47 images; 4 pairs: 45 images; 2 pairs: 21 images;
3,110,2.0862,256,0.000101,10 pairs: 117 images; 8 pairs: 34 images; 6 pairs: 39 images; 4 pairs: 50 images; 2 pairs: 16 images;
3,120,2.1062,256,0.000101,10 pairs: 116 images; 8 pairs: 36 images; 6 pairs: 44 images; 4 pairs: 47 images; 2 pairs: 13 images;
3,130,2.1113,256,0.000101,10 pairs: 116 images; 8 pairs: 25 images; 6 pairs: 46 images; 4 pairs: 50 images; 2 pairs: 19 images;
