Epoch,Batch,Loss,Valid Samples,Learning Rate,Key-Value Pair Counts
1,10,2.3033,256,0.000200,10 pairs: 256 images;
1,20,2.2865,256,0.000200,10 pairs: 255 images; 4 pairs: 1 images;
1,30,2.2712,256,0.000200,10 pairs: 251 images; 4 pairs: 4 images;
1,40,2.2588,256,0.000200,10 pairs: 247 images; 8 pairs: 2 images; 4 pairs: 6 images; 2 pairs: 1 images;
1,50,2.2461,256,0.000200,10 pairs: 242 images; 8 pairs: 4 images; 4 pairs: 10 images;
1,60,2.2627,256,0.000200,10 pairs: 239 images; 8 pairs: 6 images; 4 pairs: 11 images;
1,70,2.2502,256,0.000200,10 pairs: 230 images; 8 pairs: 7 images; 6 pairs: 1 images; 4 pairs: 17 images; 2 pairs: 1 images;
1,80,2.2278,256,0.000200,10 pairs: 221 images; 8 pairs: 5 images; 6 pairs: 9 images; 4 pairs: 20 images; 2 pairs: 1 images;
1,90,2.2256,256,0.000200,10 pairs: 219 images; 8 pairs: 11 images; 6 pairs: 5 images; 4 pairs: 19 images; 2 pairs: 2 images;
1,100,2.2086,256,0.000200,10 pairs: 199 images; 8 pairs: 14 images; 6 pairs: 14 images; 4 pairs: 26 images; 2 pairs: 3 images;
1,110,2.2278,256,0.000200,10 pairs: 201 images; 8 pairs: 14 images; 6 pairs: 13 images; 4 pairs: 27 images; 2 pairs: 1 images;
1,120,2.2230,256,0.000200,10 pairs: 192 images; 8 pairs: 12 images; 6 pairs: 14 images; 4 pairs: 34 images; 2 pairs: 4 images;
1,130,2.1914,256,0.000200,10 pairs: 183 images; 8 pairs: 17 images; 6 pairs: 20 images; 4 pairs: 33 images; 2 pairs: 3 images;
1,140,2.1929,256,0.000200,10 pairs: 172 images; 8 pairs: 22 images; 6 pairs: 30 images; 4 pairs: 29 images; 2 pairs: 3 images;
1,150,2.1687,256,0.000200,10 pairs: 160 images; 8 pairs: 34 images; 6 pairs: 24 images; 4 pairs: 33 images; 2 pairs: 5 images;
1,160,2.1499,256,0.000200,10 pairs: 156 images; 8 pairs: 18 images; 6 pairs: 33 images; 4 pairs: 42 images; 2 pairs: 7 images;
1,170,2.1746,256,0.000200,10 pairs: 153 images; 8 pairs: 20 images; 6 pairs: 35 images; 4 pairs: 42 images; 2 pairs: 6 images;
1,180,2.1580,256,0.000200,10 pairs: 142 images; 8 pairs: 30 images; 6 pairs: 27 images; 4 pairs: 46 images; 2 pairs: 11 images;
