Epoch,Batch,Loss,Valid Samples,Learning Rate,Key-Value Pair Counts
1,10,2.2994,32,0.000100,6 pairs: 15 images; 5 pairs: 11 images; 4 pairs: 4 images; 3 pairs: 2 images;
1,20,2.3016,32,0.000100,6 pairs: 6 images; 5 pairs: 9 images; 4 pairs: 14 images; 3 pairs: 3 images;
1,30,2.2869,32,0.000100,6 pairs: 7 images; 5 pairs: 8 images; 4 pairs: 14 images; 3 pairs: 2 images; 2 pairs: 1 images;
1,40,2.2805,32,0.000100,8 pairs: 1 images; 6 pairs: 5 images; 5 pairs: 6 images; 4 pairs: 16 images; 3 pairs: 4 images;
1,50,2.2776,32,0.000100,7 pairs: 1 images; 6 pairs: 10 images; 5 pairs: 4 images; 4 pairs: 14 images; 3 pairs: 1 images; 2 pairs: 2 images;
1,60,2.2369,32,0.000100,7 pairs: 1 images; 6 pairs: 10 images; 5 pairs: 3 images; 4 pairs: 15 images; 3 pairs: 2 images; 2 pairs: 1 images;
1,70,2.2483,32,0.000100,6 pairs: 10 images; 5 pairs: 3 images; 4 pairs: 14 images; 3 pairs: 3 images; 2 pairs: 2 images;
