Epoch,Batch,Loss,Valid Samples,Learning Rate,Key-Value Pair Counts
1,10,2.3027,256,0.000100,10 pairs: 256 images;
1,20,2.2973,256,0.000100,10 pairs: 256 images;
1,30,2.2899,256,0.000100,10 pairs: 255 images;
1,40,2.2919,256,0.000100,10 pairs: 256 images;
1,50,2.2802,256,0.000100,10 pairs: 256 images;
1,60,2.2939,256,0.000100,10 pairs: 256 images;
1,70,2.2762,256,0.000100,10 pairs: 256 images;
1,80,2.2858,256,0.000100,10 pairs: 255 images; 8 pairs: 1 images;
1,90,2.2757,256,0.000100,10 pairs: 255 images; 8 pairs: 1 images;
1,100,2.2721,256,0.000100,10 pairs: 254 images; 4 pairs: 2 images;
1,110,2.2847,256,0.000100,10 pairs: 254 images; 8 pairs: 1 images; 4 pairs: 1 images;
1,120,2.2790,256,0.000100,10 pairs: 253 images; 8 pairs: 1 images; 4 pairs: 2 images;
1,130,2.2633,256,0.000100,10 pairs: 253 images; 8 pairs: 2 images; 4 pairs: 1 images;
1,140,2.2669,256,0.000100,10 pairs: 250 images; 8 pairs: 3 images; 4 pairs: 3 images;
1,150,2.2511,256,0.000100,10 pairs: 250 images; 8 pairs: 3 images; 6 pairs: 1 images; 4 pairs: 2 images;
1,160,2.2650,256,0.000100,10 pairs: 248 images; 8 pairs: 3 images; 4 pairs: 5 images;
1,170,2.2758,256,0.000100,10 pairs: 247 images; 8 pairs: 4 images; 4 pairs: 5 images;
1,180,2.2436,256,0.000100,10 pairs: 241 images; 8 pairs: 3 images; 4 pairs: 12 images;
1,190,2.2399,256,0.000100,10 pairs: 244 images; 8 pairs: 1 images; 4 pairs: 10 images; 2 pairs: 1 images;
2,10,2.2579,256,0.000102,10 pairs: 242 images; 8 pairs: 2 images; 6 pairs: 1 images; 4 pairs: 10 images; 2 pairs: 1 images;
2,20,2.2202,256,0.000102,10 pairs: 233 images; 8 pairs: 7 images; 6 pairs: 2 images; 4 pairs: 12 images; 2 pairs: 2 images;
2,30,2.2505,256,0.000102,10 pairs: 245 images; 8 pairs: 2 images; 6 pairs: 1 images; 4 pairs: 7 images; 2 pairs: 1 images;
2,40,2.2554,256,0.000102,10 pairs: 239 images; 8 pairs: 5 images; 6 pairs: 3 images; 4 pairs: 9 images;
2,50,2.2579,256,0.000102,10 pairs: 232 images; 8 pairs: 4 images; 6 pairs: 4 images; 4 pairs: 16 images;
2,60,2.2397,256,0.000102,10 pairs: 231 images; 8 pairs: 4 images; 6 pairs: 4 images; 4 pairs: 17 images;
2,70,2.2305,256,0.000102,10 pairs: 227 images; 8 pairs: 9 images; 6 pairs: 2 images; 4 pairs: 17 images; 2 pairs: 1 images;
2,80,2.2246,256,0.000102,10 pairs: 228 images; 8 pairs: 10 images; 6 pairs: 1 images; 4 pairs: 17 images;
2,90,2.2262,256,0.000102,10 pairs: 225 images; 8 pairs: 8 images; 6 pairs: 4 images; 4 pairs: 18 images; 2 pairs: 1 images;
2,100,2.2274,256,0.000102,10 pairs: 213 images; 8 pairs: 11 images; 6 pairs: 8 images; 4 pairs: 22 images; 2 pairs: 2 images;
2,110,2.2589,256,0.000102,10 pairs: 222 images; 8 pairs: 7 images; 6 pairs: 5 images; 4 pairs: 18 images; 2 pairs: 3 images;
2,120,2.2159,256,0.000102,10 pairs: 222 images; 8 pairs: 5 images; 6 pairs: 8 images; 4 pairs: 19 images; 2 pairs: 2 images;
2,130,2.2052,256,0.000102,10 pairs: 216 images; 8 pairs: 14 images; 6 pairs: 4 images; 4 pairs: 21 images; 2 pairs: 1 images;
2,140,2.2044,256,0.000102,10 pairs: 220 images; 8 pairs: 13 images; 6 pairs: 2 images; 4 pairs: 18 images; 2 pairs: 3 images;
2,150,2.1994,256,0.000102,10 pairs: 219 images; 8 pairs: 8 images; 6 pairs: 8 images; 4 pairs: 19 images; 2 pairs: 2 images;
2,160,2.2150,256,0.000102,10 pairs: 204 images; 8 pairs: 14 images; 6 pairs: 14 images; 4 pairs: 18 images; 2 pairs: 6 images;
2,170,2.1752,256,0.000102,10 pairs: 208 images; 8 pairs: 11 images; 6 pairs: 9 images; 4 pairs: 24 images; 2 pairs: 4 images;
2,180,2.2078,256,0.000102,10 pairs: 205 images; 8 pairs: 13 images; 6 pairs: 9 images; 4 pairs: 24 images; 2 pairs: 5 images;
2,190,2.2118,256,0.000102,10 pairs: 205 images; 8 pairs: 13 images; 6 pairs: 7 images; 4 pairs: 26 images; 2 pairs: 5 images;
3,10,2.2080,256,0.000107,10 pairs: 202 images; 8 pairs: 21 images; 6 pairs: 8 images; 4 pairs: 24 images; 2 pairs: 1 images;
3,20,2.2165,256,0.000107,10 pairs: 206 images; 8 pairs: 16 images; 6 pairs: 7 images; 4 pairs: 24 images; 2 pairs: 3 images;
3,30,2.2294,256,0.000107,10 pairs: 191 images; 8 pairs: 24 images; 6 pairs: 14 images; 4 pairs: 27 images;
3,40,2.1902,256,0.000107,10 pairs: 190 images; 8 pairs: 15 images; 6 pairs: 14 images; 4 pairs: 33 images; 2 pairs: 4 images;
3,50,2.1789,256,0.000107,10 pairs: 187 images; 8 pairs: 23 images; 6 pairs: 11 images; 4 pairs: 26 images; 2 pairs: 9 images;
3,60,2.1792,256,0.000107,10 pairs: 176 images; 8 pairs: 27 images; 6 pairs: 18 images; 4 pairs: 32 images; 2 pairs: 3 images;
