epoch,train_loss,eval_loss,eval_top1,eval_top5
0,0.6959602603545556,0.6644296875,61.2,100.0
1,0.6666546368446106,0.617453125,70.1375,100.0
2,0.6202535613989218,0.56067578125,73.9375,100.0
3,0.5859446716614258,0.52361328125,74.9875,100.0
4,0.5789862114649552,0.53049609375,75.0,100.0
5,0.5790786670568662,0.51194140625,74.975,100.0
6,0.5765195561525149,0.51501953125,74.9,100.0
7,0.5760375463809723,0.513375,74.7,100.0
8,0.5744105848746422,0.5204375,74.925,100.0
9,0.5753822609400138,0.5004609375,74.9,100.0
10,0.5742086500693591,0.49965625,74.9125,100.0
11,0.572541526112801,0.50675,74.9875,100.0
12,0.5729542771975199,0.502921875,75.0,100.0
13,0.5714583075963534,0.4950625,75.0,100.0
14,0.571266709611966,0.4984140625,75.0,100.0
15,0.5707272084859701,0.495765625,74.9,100.0
16,0.5688000829556049,0.49434765625,74.9875,100.0
17,0.568984697262446,0.5056171875,74.9875,100.0
18,0.5680974733371001,0.50573046875,75.0,100.0
19,0.5684314435109113,0.48634375,74.9875,100.0
20,0.5681650608013837,0.48903125,75.0,100.0
21,0.5665514562756587,0.48766015625,74.875,100.0
22,0.567553515235583,0.48627734375,74.9625,100.0
23,0.5678946257401736,0.494390625,74.8875,100.0
24,0.5666794799841367,0.49223828125,74.9625,100.0
25,0.5649836705281184,0.4878515625,74.975,100.0
26,0.5641266707426462,0.47991015625,74.9625,100.0
27,0.5641027769217124,0.480296875,74.975,100.0
28,0.5646136714479862,0.48521875,74.9875,100.0
29,0.5647098273038864,0.47671484375,74.8875,100.0
30,0.5627561221138025,0.48512109375,74.9375,100.0
31,0.5623216806696012,0.47978515625,75.0,100.0
32,0.5612252832223208,0.4807890625,74.9875,100.0
33,0.5610676346681057,0.47182421875,74.925,100.0
34,0.5633653486386324,0.492015625,75.0,100.0
35,0.5622128748740906,0.48148828125,75.0,100.0
36,0.5643379010069065,0.47641015625,75.0,100.0
37,0.5633928053654157,0.47469140625,74.9875,100.0
38,0.5610508880554101,0.47716015625,75.0,100.0
39,0.5599494572633352,0.47119921875,74.9625,100.0
40,0.5593651502560346,0.47694921875,74.95,100.0
41,0.5614916571439841,0.47464453125,74.9125,100.0
42,0.5584819213702128,0.47583984375,74.875,100.0
43,0.5570396750401228,0.4746015625,74.8375,100.0
44,0.5585218475033076,0.46717578125,74.9875,100.0
45,0.5572478534319462,0.46620703125,74.95,100.0
46,0.5600835986626453,0.474359375,74.9875,100.0
47,0.5618761330842972,0.47269140625,75.0,100.0
48,0.558123586842647,0.46866796875,74.95,100.0
