epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.115915647531167,1.5722921875,46.27,91.15
1,1.9875130139864408,1.24540625,58.87,95.89
2,1.862691908616286,0.97768984375,68.26,97.5
3,1.80607687326578,1.04686875,69.75,96.82
4,1.7794778869702266,0.8826734375,72.88,97.91
5,1.7523525852423447,0.90551640625,71.79,97.97
6,1.7135169313504146,0.88612265625,74.89,97.92
7,1.7254841593595651,0.83028984375,75.83,98.15
8,1.6636658772444113,0.82630546875,75.69,98.51
9,1.6687768813891288,0.8749234375,76.99,98.58
10,1.6390694006895408,0.80881328125,76.78,98.07
11,1.6318453330260057,0.81319609375,78.79,97.96
12,1.605167447298001,0.746125,79.68,98.64
13,1.6597669292718937,0.78678359375,78.81,98.59
14,1.626767942538628,0.74442265625,79.16,98.54
15,1.6264038672814003,0.68667890625,81.34,98.93
16,1.6177588077691885,0.7020125,81.29,99.03
17,1.601328787436852,0.8111890625,80.97,98.77
18,1.598082541808104,0.7169625,79.95,98.74
19,1.6180491636960934,0.72481171875,80.5,98.8
20,1.6127300237997984,0.6407265625,82.79,98.79
21,1.5809247016906738,0.66300859375,80.94,98.61
22,1.5893482241875085,0.72718515625,80.58,98.42
23,1.5891450683275858,0.7439078125,80.64,98.56
24,1.6081448295177558,0.71543828125,82.11,98.75
25,1.5993459145228068,0.63427578125,82.58,98.98
26,1.581495276475564,0.6070453125,83.54,99.02
27,1.572420078363174,0.7032890625,82.02,99.01
28,1.581594086610354,0.69945703125,83.49,98.99
29,1.5614253524022224,0.6160625,84.32,98.99
30,1.5647080571223528,0.63808125,83.51,98.91
31,1.5794356673191756,0.63673515625,81.38,98.81
32,1.5545801804615902,0.73221171875,79.88,98.62
33,1.574223510729961,0.6725578125,81.83,98.96
34,1.5802021069404406,0.65472109375,81.35,98.86
35,1.5588970931676718,0.5908984375,82.97,99.2
36,1.5678816070923438,0.67383203125,83.88,99.04
37,1.5431092888881,0.67974296875,82.99,98.81
38,1.548747600806065,0.67858984375,83.82,98.98
39,1.5253528139530084,0.663010546875,82.84,98.62
40,1.550016904182923,0.65035546875,84.53,99.17
41,1.539281415939331,0.64104140625,84.63,99.07
42,1.5391412979517227,0.6026984375,84.71,99.0
43,1.5454064451731169,0.545161328125,85.09,99.29
44,1.5489732688818223,0.68531484375,83.6,98.98
45,1.556051536401113,0.661303125,82.77,98.85
46,1.5576713158534123,0.60152109375,84.35,99.11
47,1.569416302901048,0.65496171875,82.8,98.7
48,1.5247357481565231,0.6309671875,83.01,99.12
49,1.5452363882309352,0.67420390625,83.62,98.77
50,1.5282225544636066,0.7611296875,83.16,98.88
51,1.5483241999760653,0.672746875,84.23,98.96
