epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.2667551101782384,1.938890625,30.54,85.86
1,2.1477982239845472,1.70543125,41.1,89.34
2,2.0881630151699753,1.5259015625,48.24,92.23
3,2.047249383192796,1.4618609375,51.35,93.54
4,2.0147810196265197,1.3504734375,55.07,94.16
5,1.9803544790316852,1.28370625,57.01,94.92
6,1.9331299023750501,1.206690625,60.97,95.9
7,1.902786914507548,1.14384375,63.43,96.3
8,1.88655069118891,1.0937,65.71,96.59
9,1.8397088698851756,1.0565125,67.39,97.32
10,1.8287059135926076,0.9482765625,70.55,97.69
11,1.807574356519259,0.92598984375,72.61,97.62
12,1.7639380620076106,0.919703125,73.91,97.67
13,1.786502747046642,0.87835625,75.42,98.11
14,1.7199387574807192,0.81175234375,76.79,98.49
15,1.7244222537065164,0.777184375,78.28,98.43
16,1.7009491614806347,0.78172421875,77.93,98.33
17,1.670749573218517,0.7148625,79.71,98.48
18,1.643189070163629,0.748146875,79.17,98.48
19,1.6563641383097722,0.67062578125,81.37,98.84
20,1.623893309250856,0.7282,81.45,98.54
21,1.6577636315272404,0.72450546875,82.12,98.6
22,1.6126610878186347,0.62376015625,82.21,98.98
23,1.6082581202189128,0.66051640625,83.63,98.98
24,1.6622587882555449,0.620103125,82.85,98.94
25,1.6140807836483686,0.636240625,82.22,98.87
26,1.6019229846122938,0.66446484375,84.02,98.94
27,1.5830259683804635,0.6122859375,83.8,99.06
28,1.5976509711681268,0.618356640625,84.57,99.03
29,1.5745595559095724,0.61953125,84.89,99.06
30,1.5907413091415015,0.63363515625,84.46,99.14
31,1.5454244491381524,0.56401953125,84.84,99.11
32,1.553528252014747,0.56878515625,85.7,99.07
33,1.5543125990109565,0.59911171875,85.4,99.2
34,1.5158722455684954,0.59548203125,86.57,99.34
35,1.536551529321915,0.6120546875,84.6,99.2
36,1.5667542463693864,0.575065625,86.42,99.29
37,1.5272948778592623,0.5336265625,86.28,99.21
38,1.528048204458677,0.57225625,86.97,99.28
39,1.5448483681067442,0.506675,87.86,99.24
40,1.5323740687125769,0.5082171875,87.46,99.39
41,1.5236097668990112,0.5441953125,87.84,99.32
42,1.5265182235302068,0.535312890625,87.57,99.3
43,1.5095688703732613,0.6008640625,88.12,99.31
44,1.5110354823943897,0.5295921875,88.04,99.34
45,1.4941043532811678,0.512175,88.68,99.42
46,1.5108186299984272,0.512840234375,88.13,99.48
47,1.452644403775533,0.492063671875,87.81,99.45
48,1.5243364908756354,0.487403125,88.83,99.48
49,1.4795018679056413,0.57526171875,87.53,99.43
50,1.5258329253930312,0.51279765625,87.99,99.49
51,1.4968692348553585,0.5227125,89.02,99.48
52,1.4919227208846655,0.487555078125,88.81,99.41
53,1.5036150534947714,0.5011171875,89.51,99.52
54,1.4830324897399316,0.5630703125,89.32,99.59
55,1.4576329466624138,0.507152734375,89.14,99.51
56,1.4528420601135645,0.496971875,89.67,99.54
57,1.4564109288729155,0.480612890625,89.69,99.64
58,1.4573891508273589,0.506773828125,89.48,99.51
59,1.5011079812661194,0.47636015625,89.38,99.47
60,1.4937460862673246,0.47318359375,89.82,99.48
61,1.436837233335544,0.46607734375,89.87,99.57
62,1.430953641121204,0.45960859375,90.19,99.62
63,1.4212622981805068,0.5078515625,89.72,99.44
64,1.4639852844751797,0.512928125,89.84,99.54
65,1.491499149493682,0.5513140625,90.24,99.6
66,1.4506984139100099,0.47870859375,89.39,99.5
67,1.4257546106974284,0.49921640625,90.27,99.53
68,1.4624634440128619,0.5467953125,89.75,99.53
69,1.4440382236089462,0.4289171875,90.17,99.6
70,1.4597324184882334,0.476448046875,90.02,99.64
71,1.4564053596594395,0.51628046875,90.39,99.58
72,1.3895005709085708,0.4625953125,90.68,99.74
73,1.4268589340723479,0.4953578125,90.58,99.59
74,1.4034453126100392,0.477530078125,90.72,99.64
75,1.4688431819279988,0.45257578125,91.05,99.68
76,1.39605707969421,0.435664453125,90.9,99.58
77,1.4382061988879473,0.555090625,89.5,99.58
78,1.498232161387419,0.50635546875,91.16,99.61
79,1.4704730104177426,0.47529453125,91.14,99.58
80,1.4090625368631804,0.55393203125,91.23,99.71
81,1.4149791304881756,0.5232171875,91.07,99.61
82,1.4245447381948813,0.434396875,91.43,99.7
83,1.4137435998672094,0.4252765625,91.22,99.61
84,1.4418282805344997,0.54485,90.93,99.59
85,1.4422723226058178,0.51965546875,90.9,99.55
86,1.4133047898610434,0.4933875,90.98,99.59
87,1.3628763458667656,0.41412421875,91.85,99.61
88,1.3969951409559984,0.4152796875,91.49,99.68
89,1.4156837114920984,0.4305796875,91.18,99.65
90,1.3504831356879992,0.449789453125,91.64,99.62
91,1.450435430269975,0.493125,91.33,99.62
92,1.4443172674912672,0.4858734375,91.18,99.72
93,1.4008467658972128,0.43766484375,91.96,99.64
94,1.4042044098560627,0.433713671875,91.49,99.59
95,1.3810785461694766,0.5131078125,91.07,99.58
96,1.4256601896041479,0.4475625,91.46,99.69
97,1.415497977917011,0.4989078125,90.45,99.64
98,1.3986081493206513,0.4315828125,91.13,99.69
99,1.4143206571921325,0.50876875,91.18,99.67
100,1.407221316985595,0.397116796875,91.88,99.63
